"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1246,"CAS CONSTRUCTION","South Dublin","Old Nangor Road, Clondalkin",10,"Simon Community : Dublin Simon","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1247,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght (Phase 1)",17,"*N/A","","","","","","Q4-2018"
1248,"SHIP CONSTRUCTION","South Dublin","Letts Field, Neilstown, Clondalkin",37,"*N/A","","","","","","Q4-2018"
1249,"SHIP CONSTRUCTION","South Dublin","Owendoher, Ballyboden,  Rathfarnham",40,"*N/A","","","","","","Q1-2019"
1250,"SHIP CONSTRUCTION","South Dublin","Dromcarra, Tallaght",14,"*N/A","","","","","","Q4-2018"
1251,"SHIP CONSTRUCTION","South Dublin","Fortunestown (MacUilliam)",28,"*N/A","","","","","","Q4-2018"
1252,"SHIP CONSTRUCTION","South Dublin","Mayfield Estate, Clondalkin",17,"*N/A","","","","","","Q2-2018"
1253,"SHIP CONSTRUCTION","South Dublin","St Marks Green, Clondalkin",11,"*N/A","","","","","","Q3-2018"
1254,"SHIP CONSTRUCTION","South Dublin","St Finians",2,"*N/A","","","","","","Q3-2016"
1255,"SHIP CONSTRUCTION","South Dublin","Suncroft, Tallaght",10,"*N/A","","","","","","Q4-2016"
1256,"SHIP CONSTRUCTION","South Dublin","Belgard Road",3,"*N/A","","","","","","Q1-2016"
1257,"SHIP CONSTRUCTION","South Dublin","St. Catherine�s, Knockmore Avenue, Killinarden, Tallaght",13,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
1258,"SHIP CONSTRUCTION","South Dublin","Homeville, Knocklyon, Dublin 16",16,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
1259,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght (Phase 2)",9,"*N/A","","","","","","Q1-2019"
1260,"SHIP CONSTRUCTION RAPID","South Dublin","Killininny Road, Firhouse (Old Mill, Old Bawn)",24,"*N/A","","","","","","Q4-2018"
1261,"SHIP CONSTRUCTION RAPID","South Dublin","St Cuthbert's, Clondalkin (Phase 1)",63,"*N/A","","","","","Q3-2018",""
1262,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght (Phase 1)",47,"*N/A","","","","","","Q2-2018"
1263,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght (Phase 2)",22,"*N/A","","","","","","Q3-2018"
1264,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght (Sheehy Skeffington)",21,"*N/A","","","","","","Q4-2018"
1265,"SHIP CONSTRUCTION RAPID","South Dublin","Riversdale, Clondalkin, Dublin 22",44,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1266,"SHIP CONSTRUCTION RAPID","South Dublin","Riverside Cottages, Templeogue",13,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
1267,"SHIP CONSTRUCTION TURNKEY","South Dublin","Ardsolus, Kingswood, Dublin 24",2,"*N/A","","","","","","Q4-2018"
1268,"SHIP CONSTRUCTION TURNKEY","South Dublin","White Pines, Stocking Avenue, Rathfarnham, Dublin 16",26,"*N/A","","","","","","Q4-2018"
1269,"CALF Turnkey","South Dublin","2 properties Tullyhall, Lucan, County Dublin (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q2-2019"
1270,"CALF Turnkey","South Dublin","6 units Elder Heath, Kiltipper Road, Tallaght, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","Q1-2018",""
1271,"CALF Turnkey","South Dublin","6 units Elder Heath, Kiltipper Road, Tallaght, Dublin 24 (Phase 2)*",2,"Cluid Housing","","","","","Q1-2018",""
1272,"CALF Turnkey","South Dublin","Ardsolus, Old Naas Road, Dublin 22 (Phase 1)",10,"Respond","","","","","Q4-2018",""
1273,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 1)",6,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1274,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 2)",4,"T�ath Housing Association Ltd","","","","","","Q1-2019"
1275,"CALF Turnkey","South Dublin","Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)*",14,"Oaklee Housing","","","","","","Q3-2017"
