No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
2320,CALF Turnkey,South Dublin,"Palmerstown Avenue, Dublin 20 (Phase 1)",7,Respond,,,,,,Q4-2020,,,,,,,,,,,,,
2321,CALF Turnkey,South Dublin,"Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,Tuath Housing Association,,,,,,Q3-2018,,,,,,,,,,,,,
2322,CALF Turnkey,South Dublin,"Phase 2, Aylmer Drive, Aylmer Heath, Newcastle, Co. Dublin (Phase 1)*",17,Respond,,,,,,Q2-2021,,,,,,,,,,,,,
2323,CALF Turnkey,South Dublin,"Raheen House, Old Nangor Road, Clondalkin, Dublin 22 (Phase 1)",9,Circle Voluntary Housing Association Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
2324,CALF Turnkey,South Dublin,"Rathmill Meadows and Green, Rathcoole, Co. Dublin (Phase 1)*",11,Oaklee Housing,,,,,,Q4-2019,,,,,,,,,,,,,
2325,CALF Turnkey,South Dublin,"Sallypark, Clondalkin, Dublin 22 (Phase 1)*",85,Clúid Housing,,,,,Q4-2020,,,,,,,,,,,,,,
2326,CALF Turnkey,South Dublin,"San Guida, New Road, Clondalkin, Dublin 22 (Phase 1)*",21,Clúid Housing,,,,,Q3-2021,,,,,,,,,,,,,,
2327,CALF Turnkey,South Dublin,"Scholarstown Road, Rathfarnham, Dublin 16 (Phase 1)*",7,Circle Voluntary Housing Association Ltd,,,,,Q2-2019,,,,,,,,,,,,,,
2328,CALF Turnkey,South Dublin,"Scholarstown Road, Rathfarnham, Dublin 16 (Phase 2)*",7,Circle Voluntary Housing Association Ltd,,,,,Q2-2019,,,,,,,,,,,,,,
2329,CALF Turnkey,South Dublin,"Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",6,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018,,,,,,,,,,,,,
2330,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,,,,,Q4-2017,,,,,,,,,,,,,
2331,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018,,,,,,,,,,,,,
2332,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,Circle Voluntary Housing Association Ltd,,,,,,Q2-2019,,,,,,,,,,,,,
2333,CALF Turnkey,South Dublin,"Shackleton Park, Lucan, Co. Dublin (Phase 1)*",8,Clúid Housing,,,,,,Q2-2019,,,,,,,,,,,,,
2334,CALF Turnkey,South Dublin,"Somerton, Lucan, Co. Dublin (Phase 1)*",32,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
2335,CALF Construction,South Dublin,"St. Catherine’s, Knockmore Avenue, Killinarden, Tallaght, Dublin 24 (Phase 1)",2,Sophia Housing Association Ltd,,,,,Q2-2021,,,,,,,,,,,,,,
2336,CALF Turnkey,South Dublin,"St. Johns, Firhouse, Dublin 24 (Phase 1)*",10,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
2337,CALF Turnkey,South Dublin,"Station Road, Clondalkin, Co. Dublin (Phase 1)",5,Respond,,,,,,Q3-2017,,,,,,,,,,,,,
2338,CALF Turnkey,South Dublin,"Stone Masons Court, Fortunestown Lane, Citywest Dublin (Phase 1)*",12,Clúid Housing,,,,,,Q2-2019,,,,,,,,,,,,,
2339,CALF Turnkey,South Dublin,"Temple Court, Temple Woods, Greenhills Road, Dublin 12 (Phase 1)*",6,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
2340,CALF Turnkey,South Dublin,"The Mews, Citywest Village, Citywest, Dublin 24 (Phase 1)*",22,Fold Housing Association Ireland Ltd,,,,,,Q4-2020,,,,,,,,,,,,,
2341,CALF Turnkey,South Dublin,"The Rise, Citywest Village, Citywest, Dublin 24 (Phase 1)*",13,Fold Housing Association Ireland Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
2342,CALF Construction,South Dublin,"The Weir, Whitestown Way, Tallaght, Dublin 24 (Phase 1)",81,Clúid Housing,,,,,Q2-2021,,,,,,,,,,,,,,
2343,CALF Turnkey,South Dublin,"Tullyhall, Lucan, Co Dublin (Phase 1)*",2,Tuath Housing Association,,,,,,Q3-2017,,,,,,,,,,,,,
2344,CALF Turnkey,South Dublin,"Tullyhall, Lucan, Co Dublin (Phase 2)*",2,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
2345,CALF Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 1)",28,Clúid Housing,,,,,,Q4-2018,,,,,,,,,,,,,
2346,CALF Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 2)",28,Clúid Housing,,,,,,Q2-2019,,,,,,,,,,,,,
2347,CALF Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 3)",28,Clúid Housing,,,,,,Q4-2019,,,,,,,,,,,,,
2348,CALF Turnkey,South Dublin,"Wilkins Court, Limekiln Lane, Dublin 12 (Phase 1)*",6,Circle Voluntary Housing Association Ltd,,,,,,Q2-2019,,,,,,,,,,,,,
2349,CALF Turnkey,South Dublin,"Wilkins View, Greenhills, Dublin 12 (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018,,,,,,,,,,,,,
2350,CALF Turnkey,South Dublin,"Willowview, Ballyboden Road, Rathfarnham, Dublin 14 (Phase 1)*",12,Clúid Housing,,,,,,Q2-2021,,,,,,,,,,,,,
2351,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),South Dublin,Corkage Grange (part of Kilcarbery),109,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2352,SHIP CONSTRUCTION TURNKEY,Tipperary,"Cloneen Road, Fethard",6,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
2353,SHIP CONSTRUCTION TURNKEY,Tipperary,"Strylea, Fethard",3,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2354,SHIP CONSTRUCTION TURNKEY,Tipperary,"Ardan, Borrisokane",9,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2355,SHIP CONSTRUCTION TURNKEY,Tipperary,"An Grianan, Killenaule, Thurles",4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2356,SHIP CONSTRUCTION TURNKEY,Tipperary,"Ardan, Borrisokane",4,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
2357,SHIP CONSTRUCTION TURNKEY,Tipperary,"An Grianan, Killenaule, Thurles",5,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2358,SHIP CONSTRUCTION TURNKEY,Tipperary,"Prior Park, Clonmel",18,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
2359,SHIP CONSTRUCTION TURNKEY,Tipperary,"Ma Charoin, Manna South, Templemore",13,*N/A,,,,,Q1-2021,,,,,,,,,,,,,,
2360,SHIP CONSTRUCTION TURNKEY,Tipperary,"Cloneen Road, Fethard",5,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
2361,SHIP CONSTRUCTION TURNKEY,Tipperary,"Cloneen Road, Fethard",6,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2362,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glencree, Newport",3,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2363,SHIP CONSTRUCTION TURNKEY,Tipperary,"Cloneen Road, Fethard",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2364,SHIP CONSTRUCTION TURNKEY,Tipperary,"An Grianan, Killenaule, Thurles",5,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2365,SHIP CONSTRUCTION TURNKEY,Tipperary,"Prior Park, Clonmel",23,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
2366,SHIP CONSTRUCTION TURNKEY,Tipperary,"Rosanna Close, Tipperary Town",18,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2367,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glenconnor Road, Clonmel",10,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2368,SHIP CONSTRUCTION TURNKEY,Tipperary,"Rosanna Close, Tipperary Town",1,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
2369,SHIP CONSTRUCTION TURNKEY,Tipperary,"Hazel Close, Carrick on Suir",14,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2370,SHIP CONSTRUCTION TURNKEY,Tipperary,Glenconnor,2,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2371,SHIP CONSTRUCTION TURNKEY,Tipperary,"Cois Abhainn, Mullinahone",3,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2372,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glentara, Roscrea",2,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2373,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glenconnor Road, Clonmel",11,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2374,SHIP CONSTRUCTION SINGLE STAGE,Tipperary,"Mulkear View, Newport, Tipperary",3,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2375,SHIP CONSTRUCTION SINGLE STAGE,Tipperary,"Grange Road, Ballina",4,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2376,SHIP CONSTRUCTION RENEWAL,Tipperary,"Boherclough Street, Cashel",9,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
2377,SHIP CONSTRUCTION,Tipperary,"Ard na Greine, Clonmel",2,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
2378,SHIP CONSTRUCTION,Tipperary,Knockanrawley,14,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
2379,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",14,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2380,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",10,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2381,SHIP CONSTRUCTION,Tipperary,"Treacy Park, Carrick on Suir",1,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
2382,SHIP CONSTRUCTION,Tipperary,Templetouhy,10,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2383,SHIP CONSTRUCTION,Tipperary,"Abbey Street, Cahir",10,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
2384,SHIP CONSTRUCTION,Tipperary,Borrisokane,14,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2385,SHIP CONSTRUCTION,Tipperary,"Portroe, Nenagh",14,*N/A,,,,,Q4-2021,,,,,,,,,,,,,,
2386,SHIP CONSTRUCTION,Tipperary,Cloughjordan,2,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2387,SHIP CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",26,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
2388,SHIP CONSTRUCTION,Tipperary,"Gortataggart, Thurles",2,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2389,SHIP CONSTRUCTION,Tipperary,"Kilcooly Way, Gortnahoe",5,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
2390,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",3,*N/A,,,,,,Q3-2016,,,,,,,,,,,,,
2391,SHIP CONSTRUCTION,Tipperary,"Mitchel St., Thurles",1,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2392,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,1,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
2393,SHIP CONSTRUCTION,Tipperary,Lower Ballingarry,1,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
2394,SHIP CONSTRUCTION,Tipperary,"Poulamaleen, Faugheen",1,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
2395,SHIP CONSTRUCTION,Tipperary,"Cormack Drive, Nenagh",12,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
2396,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",1,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
2397,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,1,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2398,SHIP CONSTRUCTION,Tipperary,Bansha,14,*N/A,,,,,Q3-2021,,,,,,,,,,,,,,
2399,SHIP CONSTRUCTION,Tipperary,"Ned Hayes Drive, Twomileborris, Thurles",22,*N/A,,,,,Q3-2021,,,,,,,,,,,,,,
2400,SHIP CONSTRUCTION,Tipperary,Donohill,8,*N/A,,,,,Q3-2021,,,,,,,,,,,,,,
2401,SHIP CONSTRUCTION,Tipperary,Mullinahone,10,*N/A,,,,,Q1-2021,,,,,,,,,,,,,,
2402,SHIP CONSTRUCTION,Tipperary,Ballyclerihan,14,*N/A,,,,,Q3-2021,,,,,,,,,,,,,,
2403,SHIP CONSTRUCTION,Tipperary,"Ard Alainn, Moyne",9,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2404,SHIP CONSTRUCTION,Tipperary,Ardcroney,4,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
2405,SHIP CONSTRUCTION,Tipperary,"Comeragh Drive, Clonmel",2,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2406,SHIP CONSTRUCTION,Tipperary,"Church Street, Templemore",2,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2407,SHIP CONSTRUCTION,Tipperary,"Woodview Close, Castle Crescent,  Nenagh",10,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
2408,SHIP CONSTRUCTION,Tipperary,Grove Street. Roscrea,6,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2409,SHIP CONSTRUCTION,Tipperary,"William Street, Clonmel",4,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2410,SHIP CONSTRUCTION,Tipperary,"Glencarrick, Roscrea",26,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2411,SHIP CONSTRUCTION,Tipperary,Knockanrawley,14,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2412,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",14,*N/A,,,,,Q2-2020,,,,,,,,,,,,,,
2413,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",1,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
2414,SHIP CONSTRUCTION,Tipperary,"Mountain View, Cahir",23,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2415,SHIP CONSTRUCTION,Tipperary,"Glencarrick, Roscrea",20,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2416,SHIP CONSTRUCTION,Tipperary,Borrisokane,2,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
2417,SHIP CONSTRUCTION,Tipperary,"Mountain View Drive, Cahir",20,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2418,CAS CONSTRUCTION TURNKEY,Tipperary,"Monastery Close, Templemore Road, Thurles",15,Thurles Lions Trust Housing Assoc.,,,,,,Q2-2019,,,,,,,,,,,,,
2419,CAS CONSTRUCTION TURNKEY,Tipperary,"Drummin Village, Nenagh",8,Nenagh Voluntary Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
2420,CAS CONSTRUCTION TURNKEY,Tipperary,"Kichham Street, Carrick en Suir",12,Túath Housing Association Ltd,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2421,CAS CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",9,Cluid Housing Association,,,,,Q2-2021,,,,,,,,,,,,,,
2422,CAS CONSTRUCTION,Tipperary,"Stanwix House, Kickham Street, Thurles",19,Thurles Lions Trust Housing Assoc.,,,,,Q2-2021,,,,,,,,,,,,,,
2423,CAS CONSTRUCTION,Tipperary,"Main Street, Templemore",14,Templemore Voluntary Housing Association,"Stage 1 approved Q4-2019, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2424,CAS CONSTRUCTION,Tipperary,"Deerpark Road, Ashwell's Lot",2,SPADE – St. Patrick’s Dwellings for the Elderly,,,,,Q2-2021,,,,,,,,,,,,,,
2425,CALF Turnkey,Tipperary,"Abbey Court Lodges, Old Dublin Road, Nenagh, Co Tipperary (Phase 1)",16,Focus Housing Association CLG,,,,,Q4-2021,,,,,,,,,,,,,,
2426,CALF Turnkey,Tipperary,"An Duiche, Tipperary Town, Co. Tipperary (Phase 1)",41,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
2427,CALF Turnkey,Tipperary,"An Duiche, Tipperary Town, Co. Tipperary (Phase 2)",2,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
2428,CALF Turnkey,Tipperary,"Ashbury, Roscrea, Co Tipperary (Phase 1)",12,Clúid Housing,,,,,,Q2-2017,,,,,,,,,,,,,
2429,CALF Turnkey,Tipperary,"Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 1)",9,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2018,,,,,,,,,,,,,
2430,CALF Turnkey,Tipperary,"Ashgrove, Monadreen, Thurles, Co. Tipperary (Phase 1)",10,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2019,,,,,,,,,,,,,
2431,CALF Turnkey,Tipperary,"Ashgrove, Monadreen, Thurles, Co. Tipperary (Phase 2)",7,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2020,,,,,,,,,,,,,
2432,CALF Turnkey,Tipperary,"Ballygraigue Court, Ballygraigue Road, Nenagh (Phase 1)",5,Clúid Housing,,,,,Q4-2020,,,,,,,,,,,,,,
2433,CALF Turnkey,Tipperary,"Mill Street, Carrick on Suir, Co. Tipperary (Phase 1)",22,Tuath Housing Association,,,,,,Q3-2020,,,,,,,,,,,,,
2434,CALF Turnkey,Tipperary,"The Avenue, Drummin Village, Nenagh, Co. Tipperary (Phase 1)",13,Focus Housing Association CLG,,,,,,Q4-2020,,,,,,,,,,,,,
2435,CALF Turnkey,Tipperary,"Wallers Lot, East Cashel, Co. Tipperary (Phase 1)*",40,Tuath Housing Association,,,,,Q4-2021,,,,,,,,,,,,,,
2436,SHIP CONSTRUCTION TURNKEY,Waterford,"Kilrush, Dungarvan",8,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
2437,SHIP CONSTRUCTION TURNKEY,Waterford,"Gibbethill, Gracedieu",5,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
2438,SHIP CONSTRUCTION TURNKEY,Waterford,"Carrickphierish, Gracedieu, Waterford",31,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2439,SHIP CONSTRUCTION TURNKEY,Waterford,"Shandon, Dungarvan",5,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
2440,SHIP CONSTRUCTION TURNKEY,Waterford,"Airport Road, Waterford City",33,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2441,SHIP CONSTRUCTION TURNKEY,Waterford,"Kilrush, Dungarvan",10,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2442,SHIP CONSTRUCTION TURNKEY,Waterford,"Kilrush, Dungarvan",21,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2443,SHIP CONSTRUCTION TURNKEY,Waterford,"Lacken Road, Waterford",20,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
2444,SHIP CONSTRUCTION TURNKEY,Waterford,"Lacken Road, Waterford",14,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2445,SHIP CONSTRUCTION TURNKEY,Waterford,"Lacken Road, Waterford",6,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
2446,SHIP CONSTRUCTION TURNKEY,Waterford,"Lacken Road, Waterford",15,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
2447,SHIP CONSTRUCTION TURNKEY,Waterford,"Estuary Heights, Shandon, Dungarvan",6,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
2448,SHIP CONSTRUCTION TURNKEY,Waterford,"Estuary Heights, Shandon, Dungarvan",8,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2449,SHIP CONSTRUCTION TURNKEY,Waterford,"Estuary Heights, Shandon, Dungarvan",6,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2450,SHIP CONSTRUCTION TURNKEY,Waterford,"Mount Suir, Gracedieu, Carrickphierish",18,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2451,SHIP CONSTRUCTION TURNKEY,Waterford,"Brideview Close, Tallow",2,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
2452,SHIP CONSTRUCTION TURNKEY,Waterford,"Mount William, Williamstown, Waterford City",19,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2453,SHIP CONSTRUCTION TURNKEY,Waterford,"7A and 8A Barnes Lane, The Glen, Waterford",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2454,SHIP CONSTRUCTION TURNKEY,Waterford,"Sherlock Walk, Gracedieu, Waterford",2,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
2455,SHIP CONSTRUCTION TURNKEY,Waterford,"Mount William, Williamstown, Waterford City",13,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
2456,SHIP CONSTRUCTION TURNKEY,Waterford,"Mount William, Williamstown, Waterford City",10,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2457,SHIP CONSTRUCTION TURNKEY,Waterford,"Mount William, Williamstown, Waterford City",23,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2458,SHIP CONSTRUCTION TURNKEY,Waterford,"The Courtyard, Morrissons Road, Waterford City",8,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2459,SHIP CONSTRUCTION TURNKEY,Waterford,"Bounds Court, Airport Road, Waterford",15,N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2460,SHIP CONSTRUCTION TURNKEY,Waterford,"Brideview Close, Tallow; Main Street, Aglish; Bye Lane, Kilmacthomas, Co. Waterford",6,N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2461,SHIP CONSTRUCTION TURNKEY,Waterford,"Brideview Close, Tallow; Main St, Aglish;Bye Lane, Kilmacthomas",3,*N/A,,,,,Q1-2021,,,,,,,,,,,,,,
2462,SHIP CONSTRUCTION SINGLE STAGE,Waterford,"Apt 1 and Apt 2 Rivercourt, Grattan Quay, Waterford City",2,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2463,SHIP CONSTRUCTION RAPID,Waterford,"Ballygunner, Waterford City",49,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2464,SHIP CONSTRUCTION RAPID,Waterford,"Ballynaneashagh, Waterford City",22,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2465,SHIP CONSTRUCTION,Waterford,"An Garran, Crobally Upper, Tramore",50,*N/A,,,"Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
2466,SHIP CONSTRUCTION,Waterford,"Alms Houses, Tallow",4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2467,SHIP CONSTRUCTION,Waterford,"Ardmore Park/Priory Lawn (Saviours Green), Ballybeg",5,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
2468,SHIP CONSTRUCTION,Waterford,"Ballinroad, Dungarvan",21,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
2469,SHIP CONSTRUCTION,Waterford,"Barrack Street, Cappoquin",4,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
2470,SHIP CONSTRUCTION,Waterford,"Coolfin Woods, Portlaw",12,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
2471,SHIP CONSTRUCTION,Waterford,"Larchville, Waterford City",5,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2472,SHIP CONSTRUCTION,Waterford,"Patrick Street, Tramore",2,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
2473,SHIP CONSTRUCTION,Waterford,"Doyles Street, Waterford City",4,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2474,SHIP CONSTRUCTION,Waterford,"Old Cinema Site, Dungarvan",15,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
2475,SHIP CONSTRUCTION,Waterford,"The Glen, Bridge St, Waterford",17,*N/A,,,,,Q3-2021,,,,,,,,,,,,,,
2476,SHIP CONSTRUCTION,Waterford,"Clarendon Court, Penrose Lane, Waterford",24,*N/A,"Stage 1 approved Q1-2018, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2477,SHIP CONSTRUCTION,Waterford,"Summerland Square, Waterford",12,*N/A,,,"Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
2478,SHIP CONSTRUCTION,Waterford,"Bath St, Waterford City",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2479,SHIP CONSTRUCTION,Waterford,"Graigueshoneen, Kilmacthomas",16,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
2480,SHIP CONSTRUCTION,Waterford,"Mount Esker, Ballytruckle Road, Waterford City",14,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2481,SHIP CONSTRUCTION,Waterford,"Newgate Street, Waterford City",36,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2482,SHIP CONSTRUCTION,Waterford,"Fountain Street, Ferrybank, Waterford",14,*N/A,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2483,SHIP CONSTRUCTION,Waterford,"Meeting House Lane, Waterford City",6,N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2484,SHIP CONSTRUCTION,Waterford,"50-53 Ballytruckle Road, Waterford",11,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2485,CAS CONSTRUCTION,Waterford,"Convent Hill, Tramore",10,Society of Saint Vincent de Paul,,,,,,Q1-2017,,,,,,,,,,,,,
2486,CAS CONSTRUCTION,Waterford,"Wadding Manor, Ferrybank",10,Respond,,,,,,Q2-2021,,,,,,,,,,,,,
2487,CAS CONSTRUCTION,Waterford,"The Paddocks, Williamstown Rd. Waterford ",9,Anvers Housing Association Ltd,,,,,,Q4-2020,,,,,,,,,,,,,
2488,CALF Turnkey,Waterford,"Kilbarry, Waterford (Phase 1)",69,Respond,,,,,,Q3-2020,,,,,,,,,,,,,
