"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
687,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q1-2017"
688,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,"T�ath Housing Association Ltd","","","","","","Q4-2017"
689,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,"T�ath Housing Association Ltd","","","","","","Q3-2018"
690,"CALF Turnkey","Galway City","Reilean, Roscam, Block 5 Galway (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2017"
691,"CALF Turnkey","Galway City","Reilean, Roscam,Block 4 Galway (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2017"
692,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 1)",10,"Respond","","","","","","Q4-2019"
693,"CALF Turnkey","Galway City","Leana Theas, Cappagh Road, Galway City (Phase 1)*",10,"Co-operative Housing Ireland","","","","","","Q4-2019"
694,"CALF Turnkey","Galway City","Revised Murrough, Renmore, Galway  (Phase 1)*",20,"Cluid Housing","","","","","","Q1-2019"
695,"CAS CONSTRUCTION","Galway City","47 Forster Street",9,"Cope Galway","","","","","","Q4-2019"
696,"CAS CONSTRUCTION","Galway City","97/98 Rockfield",4,"Carraig Dubh Housing Association","","","","","","Q1-2018"
697,"CAS CONSTRUCTION","Galway City","Cul Garrai, Rahoon",6,"Peter Triest Housing Association Ltd","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
698,"CAS CONSTRUCTION","Galway City","Doughiska, Galway City",7,"Respond","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
699,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Galway City","Ballyburke",74,"*N/A","","","","","Q4-2019",""
700,"SHIP CONSTRUCTION","Galway City","Ballymoneen Road (Phase 2)",78,"*N/A","","","","","Q2-2019",""
701,"SHIP CONSTRUCTION","Galway City","Ballymoneen Road (Phase 1)",14,"*N/A","","","","","","Q2-2018"
702,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",7,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
703,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",58,"*N/A","","","Stage 3 approved Q2-2019, the scheme is now approved to proceed to tender.","","",""
704,"SHIP CONSTRUCTION","Galway City","Headford Road, Castlegar",70,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
705,"SHIP CONSTRUCTION","Galway City","Tirellan Heights, Headford Road",4,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
706,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 2)",16,"*N/A","","","","","","Q4-2019"
707,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 3)",7,"*N/A","","","","","","Q4-2019"
708,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road (Phase 1)",6,"*N/A","","","","","","Q3-2019"
709,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 4)",17,"*N/A","","","","","Q4-2018",""
710,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 5)",4,"*N/A","","","","","Q4-2018",""
711,"CALF Construction","Galway County","Spiddal Cottages, Co Galway (Phase 1)",23,"Cluid Housing","","","","","","Q3-2017"
712,"CALF Turnkey","Galway County","Cnoc na Si, Portumna, Co Galway (Phase 1)",10,"Co-operative Housing Ireland","","","","","","Q2-2018"
713,"CALF Turnkey","Galway County","Dunloe Street, Ballinasloe, Co. Galway (Phase 1)",9,"Co-operative Housing Ireland","","","","","Q3-2018",""
714,"CALF Turnkey","Galway County","Tir an Choir, Vicars Choral, Tuam, Co. Galway (Phase 1)",12,"Co-operative Housing Ireland","","","","Q3-2019","",""
715,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 2)",11,"Cluid Housing Association","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
716,"CAS CONSTRUCTION","Galway County","Rossaveal Cottages, Ros a Mh�l, South Connemara",8,"Tearmann Eanna Teoranta","Stage 1 approved Q4-2016, outline design and costs being prepared.","","","","",""
717,"CAS CONSTRUCTION","Galway County","Mountbellew",5,"Mountbellew Voluntary Homes Association","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
718,"CAS CONSTRUCTION","Galway County","Springfield, Parkmore (Ballinasloe)",4,"Peter Triest Housing Association Ltd","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
719,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 1)",13,"Cluid Housing Association","","","","","","Q2-2016"
720,"CAS CONSTRUCTION","Galway County","Dunlo Hill, Ballinasloe",18,"Cluid Housing Association","","","","","Q4-2018",""
