"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
990,"SHIP CONSTRUCTION TURNKEY","Monaghan","Knockroe Glen, Monaghan Town (Phase 3)",6,"*N/A","","","","","","Q4-2017"
991,"SHIP CONSTRUCTION TURNKEY","Monaghan","Knockroe Glen, Monaghan Town (Phase 2)",8,"*N/A","","","","","","Q2-2017"
992,"SHIP CONSTRUCTION TURNKEY","Monaghan","Knockroe Glen, Monaghan  Town (Phase 1)",8,"*N/A","","","","","","Q2-2017"
993,"SHIP CONSTRUCTION TURNKEY","Monaghan","Killycard, Bree, Castleblaney",4,"*N/A","","","","","Q3-2018",""
994,"SHIP CONSTRUCTION TURNKEY","Monaghan","The Meadows, Smithborough",5,"*N/A","","","","","","Q4-2017"
995,"SHIP CONSTRUCTION TURNKEY","Monaghan","Maple Grove, Smithborough",11,"*N/A","","","","","","Q4-2018"
996,"SHIP CONSTRUCTION","Monaghan","Bree, Castleblayney",8,"*N/A","","","","","Q3-2018",""
997,"SHIP CONSTRUCTION","Monaghan","Latlorcan, Monaghan Town",43,"*N/A","","","","","Q3-2018",""
998,"SHIP CONSTRUCTION","Monaghan","Davy's & Adjacent Porperty, Fermanagh St., Clones",3,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
999,"SHIP CONSTRUCTION","Monaghan","Boyle Sports Site, Fermanagh St., Clones",3,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1000,"SHIP CONSTRUCTION","Monaghan","Fermanagh St., Clones",3,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1001,"SHIP CONSTRUCTION","Monaghan","An Bonnan Bui & Flower Shop, Fermanagh St., Clones",6,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1002,"SHIP CONSTRUCTION","Monaghan","Analore St., Clones",2,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1003,"SHIP CONSTRUCTION","Monaghan","Abbey Gatehouse, Analore St., Clones",4,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1004,"SHIP CONSTRUCTION","Monaghan","Bothar na Mullen, Scotstown",31,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1005,"SHIP CONSTRUCTION","Monaghan","Latlorcan, Monaghan",16,"*N/A","","","","","","Q4-2018"
1006,"CAS CONSTRUCTION","Monaghan","Drumillard, Castleblayney (Phase 2)",2,"Castleblayney Care Housing Association Ltd","","","Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.","","",""
1007,"CAS CONSTRUCTION","Monaghan","Liseggerton, Clones",16,"Oaklee Housing Trust","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
1008,"CAS CONSTRUCTION","Monaghan","Convent Lands, Carrickmacross",7,"Respond","","","","","","Q2-2017"
1009,"CALF Turnkey","Offaly","Frankford Park, Kilcormac, Co. Offaly (Phase 1)",12,"T�ath Housing Association Ltd","","","","Q2-2018","",""
1010,"CALF Construction","Offaly","Killane Drive, Edenderry, Co Offaly (Phase 1)",25,"T�ath Housing Association Ltd","","","","Q4-2018","",""
1011,"CALF Construction","Offaly","Kearney�s Field, Tullamore, Co. Offaly (Phase 1)",53,"Oaklee Housing","","","","Q1-2017","",""
1012,"SHIP CONSTRUCTION TURNKEY","Offaly","McGregol, Birr",12,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1013,"SHIP CONSTRUCTION TURNKEY","Offaly","Mill Race, Ferbane",5,"*N/A","","","","","","Q4-2017"
1014,"SHIP CONSTRUCTION TURNKEY","Offaly","Cluain na Spideoga, Cloghan",6,"*N/A","","","","","Q2-2018",""
1015,"SHIP CONSTRUCTION TURNKEY","Offaly","Coolagarry, Walsh Island, ",4,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
1016,"SHIP CONSTRUCTION TURNKEY","Offaly","Frankford, Kilcormac",12,"*N/A","","","","","","Q4-2018"
1017,"SHIP CONSTRUCTION SINGLE STAGE","Offaly","Church Street, Clara",3,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1018,"SHIP CONSTRUCTION SINGLE STAGE","Offaly","Beechgrove, Belmont",7,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1019,"SHIP CONSTRUCTION","Offaly","Chancery Lane, Tullamore",14,"*N/A","","","","","Q3-2018",""
1020,"SHIP CONSTRUCTION","Offaly","Circular Road, Daingean",7,"*N/A","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
1021,"SHIP CONSTRUCTION","Offaly","Kylebeg, Banagher (Phase 2)",18,"*N/A","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
1022,"SHIP CONSTRUCTION","Offaly","Blundell Wood, Edenderry",33,"*N/A","","","","","Q4-2017",""
1023,"CAS CONSTRUCTION","Offaly","Mountbolus",4,"Mid Offaly Housing Association Ltd","","","","","Q3-2018",""
1024,"CAS CONSTRUCTION","Offaly","Killane Court, Edenderry",2,"T�ath Housing Association Ltd","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1025,"CAS CONSTRUCTION","Offaly","Scurragh, Birr",6,"Cluid Housing Association","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1026,"CAS CONSTRUCTION","Offaly","Clonminch, Tullamore",19,"Oaklee Housing Trust","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1027,"CALF Turnkey","Roscommon","River Oaks, Kilcolman, Ballaghaderreen, Co. Roscommon (Phase 1)",12,"Respond","","","","","","Q1-2018"
1028,"CALF Turnkey","Roscommon"," Monksfield Park, Bealnamulla, Athlone (Phase 1)",13,"Cluid Housing","","","","","","Q3-2018"
1029,"SHIP CONSTRUCTION TURNKEY","Roscommon","Monksland, Athlone",10,"*N/A","","","","","","Q3-2018"
1030,"SHIP CONSTRUCTION TURNKEY","Roscommon","Station Road, Termon, Boyle",10,"*N/A","","","","","Q1-2018",""
1031,"SHIP CONSTRUCTION TURNKEY","Roscommon","Silveroe Meadows, Boyle",12,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1032,"SHIP CONSTRUCTION TURNKEY","Roscommon","Lisroyne Court, Strokestown, Co. Roscommon",10,"*N/A","","","","","Q3-2018",""
1033,"SHIP CONSTRUCTION TURNKEY","Roscommon","Warren Grove, Boyle",4,"*N/A","","","","","","Q4-2018"
1034,"SHIP CONSTRUCTION","Roscommon","Cloonfad",1,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1035,"SHIP CONSTRUCTION","Roscommon","Greenfields, Blackstick Road, Roscommon Town",6,"*N/A","","","","","","Q3-2017"
1036,"SHIP CONSTRUCTION","Roscommon","River Oaks, Ballaghaderreen",10,"*N/A","","","","","","Q4-2017"
1037,"SHIP CONSTRUCTION","Roscommon","Cluain Fraoigh, Cloonbeirne",7,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1038,"SHIP CONSTRUCTION","Roscommon","Monksland, Athlone",2,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1039,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Roscommon","The Walk, Roscommon Town",53,"*N/A","","","Q1-2018","","",""
1040,"SHIP CONSTRUCTION SINGLE STAGE","Sligo","St Joseph's Terrace",1,"*N/A","","","","","Q4-2018",""
1041,"SHIP CONSTRUCTION","Sligo","Colloney",15,"*N/A","","","","","Q4-2018",""
1042,"SHIP CONSTRUCTION","Sligo","Knappagh Road",28,"*N/A","","","","","Q4-2018",""
1043,"SHIP CONSTRUCTION","Sligo","Caltragh, Culleens",1,"*N/A","","","","","","Q4-2018"
1044,"SHIP CONSTRUCTION","Sligo","Carrowbunnaun, Strandhill",20,"*N/A","Stage 1 approved Q2-2015, outline design and costs being prepared.","","","","",""
1045,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace (2)",14,"*N/A","","","","","","Q3-2018"
1046,"SHIP CONSTRUCTION","Sligo","Daghloonagh, Keash - SRD",1,"*N/A","","","","","","Q4-2016"
1047,"SHIP CONSTRUCTION","Sligo","Rosses Point",14,"*N/A","","","","","Q4-2018",""
1048,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace (1)",8,"*N/A","","","","","","Q4-2017"
1049,"SHIP CONSTRUCTION","Sligo","Connolly Park, Tubbercurry",10,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1050,"SHIP CONSTRUCTION","Sligo","Dromore West",10,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1051,"SHIP CONSTRUCTION","Sligo","Robbers' Lane, Maugheraboy, Sligo",62,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
1052,"SHIP CONSTRUCTION","Sligo","House at Ballinode",1,"*N/A","","","","","","Q4-2018"
1053,"CAS CONSTRUCTION","Sligo","Cuan Iosa, Ballymote",8,"Society of Saint Vincent de Paul","","","","","Q4-2018",""
1054,"CALF Turnkey","South Dublin"," Palmerstown Avenue, Dublin 20 (Phase 1)",7,"Respond","","","","Q3-2018","",""
1055,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 1)*",94,"Respond","","","","Q4-2018","",""
1056,"CALF Construction","South Dublin","Hollyville Terrace, Palmerstown, Dublin (Phase 1)",2,"Cluid Housing","","","","Q4-2017","",""
1057,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,"Circle Voluntary Housing Association Ltd","","","","","Q2-2016",""
1058,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 2)",4,"T�ath Housing Association Ltd","","","","","Q1-2018",""
1059,"CALF Turnkey","South Dublin","Shackleton Park, Lucan, Co. Dublin (Phase 1)*",8,"Cluid Housing","","","","","Q1-2018",""
1060,"CALF Turnkey","South Dublin","St. Johns, Firhouse, Dublin 24 (Phase 1)*",10,"Respond","","","","","Q2-2018",""
1061,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 2)",28,"Cluid Housing","","","","","Q2-2018",""
1062,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 3)",28,"Cluid Housing","","","","","Q2-2018",""
1063,"CALF Turnkey","South Dublin","2 properties Tullyhall, Lucan, County Dublin (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","Q3-2018",""
1064,"CALF Turnkey","South Dublin","2 units at Tullyhall Drive, Lucan, Co. Dublin (Phase 1)",2,"T�ath Housing Association Ltd","","","","","Q3-2018",""
1065,"CALF Turnkey","South Dublin","De Selby Lawns, Tallaght, Dublin 24 (Phase 1)",9,"T�ath Housing Association Ltd","","","","","Q4-2018",""
1066,"CALF Turnkey","South Dublin","Stone Masons Court, Fortunestown Lane, Citywest Dublin (Phase 1)*",12,"Cluid Housing","","","","","Q4-2018",""
1067,"CALF Turnkey","South Dublin","Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)*",14,"Oaklee Housing","","","","","","Q3-2017"
1068,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Houses (Phase 2)",15,"Cluid Housing","","","","","","Q3-2017"
1069,"CALF Turnkey","South Dublin","New Bancroft, Tallaght, Dublin 24 (Phase 1)*",16,"Cluid Housing","","","","","","Q3-2017"
1070,"CALF Turnkey","South Dublin","Station Road, Clondalkin, Co. Dublin (Phase 1)",5,"Respond","","","","","","Q3-2017"
1071,"CALF Turnkey","South Dublin","Tullyhall, Lucan, Co Dublin\t\t\t (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q3-2017"
1072,"CALF Turnkey","South Dublin","Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,"Cluid Housing","","","","","","Q1-2018"
1073,"CALF Turnkey","South Dublin","Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,"Cluid Housing","","","","","","Q1-2018"
1074,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,"Cluid Housing","","","","","","Q1-2018"
1075,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,"Cluid Housing","","","","","","Q2-2018"
1076,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 1)*",13,"Cluid Housing","","","","","","Q2-2018"
1077,"CALF Turnkey","South Dublin","Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",6,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1078,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1079,"CALF Turnkey","South Dublin","Wilkins View, Greenhills, Dublin 12 (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1080,"CALF Turnkey","South Dublin","Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","","Q3-2018"
1081,"CALF Turnkey","South Dublin","Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,"T�ath Housing Association Ltd","","","","","","Q3-2018"
1082,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 1)",6,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1083,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 2)",12,"Cluid Housing","","","","","","Q4-2018"
1084,"CALF Turnkey","South Dublin","Millford Manor, Cloverhill Road, Clondalkin, Dublin 22 (Phase 1)*",2,"Cluid Housing","","","","","","Q4-2018"
1085,"CALF Turnkey","South Dublin","Temple Court, Temple Woods, Greenhills Road, Dublin 12 (Phase 1)*",6,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1086,"CALF Turnkey","South Dublin","Tullyhall, Lucan, Co Dublin\t\t\t (Phase 2)*",2,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1087,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 1)",28,"Cluid Housing","","","","","","Q4-2018"
1088,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Houses (Phase 1)",25,"Cluid Housing","","","","","","Q1-2017"
1089,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2017"
1090,"SHIP CONSTRUCTION TURNKEY","South Dublin","Ardsolus, Kingswood, Dublin 24",2,"*N/A","","","","","","Q4-2018"
1091,"SHIP CONSTRUCTION TURNKEY","South Dublin","White Pines, Stocking Avenue, Rathfarnham, Dublin 16",26,"*N/A","","","","","","Q4-2018"
1092,"SHIP CONSTRUCTION RAPID","South Dublin","Killininny Road, Firhouse (Old Mill, Old Bawn)",24,"*N/A","","","","","","Q4-2018"
1093,"SHIP CONSTRUCTION RAPID","South Dublin","St Cuthbert's, Clondalkin (Phase 1)",63,"*N/A","","","","","Q3-2018",""
1094,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght (Phase 1)",47,"*N/A","","","","","","Q2-2018"
1095,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght (Phase 2)",22,"*N/A","","","","","","Q3-2018"
1096,"SHIP CONSTRUCTION RAPID","South Dublin","St. Catherine�s, Knockmore Avenue, Killinarden, Tallaght",13,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
1097,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght (Sheehy Skeffington)",21,"*N/A","","","","","","Q4-2018"
1098,"SHIP CONSTRUCTION RAPID","South Dublin","Riversdale, Clondalkin, Dublin 22",44,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1099,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght (Phase 1)",17,"*N/A","","","","","","Q4-2018"
1100,"SHIP CONSTRUCTION","South Dublin","Letts Field, Neilstown, Clondalkin",37,"*N/A","","","","","","Q4-2018"
1101,"SHIP CONSTRUCTION","South Dublin","Owendoher, Ballyboden,  Rathfarnham",40,"*N/A","","","","","Q3-2017",""
1102,"SHIP CONSTRUCTION","South Dublin","Dromcarra, Tallaght",14,"*N/A","","","","","","Q4-2018"
1103,"SHIP CONSTRUCTION","South Dublin","Fortunestown (MacUilliam)",28,"*N/A","","","","","","Q4-2018"
1104,"SHIP CONSTRUCTION","South Dublin","Mayfield Estate, Clondalkin",17,"*N/A","","","","","","Q2-2018"
1105,"SHIP CONSTRUCTION","South Dublin","St Marks Green, Clondalkin",11,"*N/A","","","","","","Q3-2018"
1106,"SHIP CONSTRUCTION","South Dublin","St Finians",2,"*N/A","","","","","","Q3-2016"
1107,"SHIP CONSTRUCTION","South Dublin","Suncroft, Tallaght",10,"*N/A","","","","","","Q4-2016"
1108,"SHIP CONSTRUCTION","South Dublin","Belgard Road",3,"*N/A","","","","","","Q1-2016"
1109,"SHIP CONSTRUCTION","South Dublin","Homeville, Knocklyon, Dublin 16",16,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
1110,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght (Phase 2)",9,"*N/A","","","","","Q3-2018",""
1111,"CAS CONSTRUCTION","South Dublin","Collinstown Grove, Clondalkin",4,"T�ath Housing Association Ltd","","","","","Q4-2018",""
1112,"CAS CONSTRUCTION","South Dublin","Old Nangor Road, Clondalkin",10,"Simon Community : Dublin Simon","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1113,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","South Dublin","Corkage Grange (part of Kilcarbery)",109,"*N/A","","","","Q3-2018","",""
1114,"CALF Turnkey","Tipperary","Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 2)",10,"Co-operative Housing Ireland","","","","","Q1-2018",""
1115,"CALF Turnkey","Tipperary","Mill Street, Carrick on Suir, Co. Tipperary (Phase 1)",22,"T�ath Housing Association Ltd","","","","","Q4-2018",""
1116,"CALF Turnkey","Tipperary","Ashbury, Roscrea, Co Tipperary (Phase 1)",12,"Cluid Housing","","","","","","Q2-2017"
1117,"CALF Turnkey","Tipperary","Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 1)",9,"Co-operative Housing Ireland","","","","","","Q4-2018"
1118,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard",21,"*N/A","","","","","Q4-2018",""
1119,"SHIP CONSTRUCTION TURNKEY","Tipperary","Strylea, Fethard",3,"*N/A","","","","","Q4-2018",""
1120,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ardan, Borrisokane (Phase 1)",9,"*N/A","","","","","","Q4-2018"
1121,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles (Phase 1)",4,"*N/A","","","","","","Q4-2018"
1122,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ardan, Borrisokane (Phase 2)",4,"*N/A","","","","","Q4-2018",""
1123,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles (Phase 2)",10,"*N/A","","","","","Q4-2018",""
1124,"SHIP CONSTRUCTION SINGLE STAGE","Tipperary","Mulkear View, Newport, Tipperary",3,"*N/A","","","","","","Q4-2018"
1125,"SHIP CONSTRUCTION","Tipperary","Ard na Greine, Clonmel",2,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1126,"SHIP CONSTRUCTION","Tipperary","Knockanrawley",28,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1127,"SHIP CONSTRUCTION","Tipperary","Mill Road, Thurles",28,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
1128,"SHIP CONSTRUCTION","Tipperary","Mulkear View, Newport",11,"*N/A","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
1129,"SHIP CONSTRUCTION","Tipperary","Treacy Park, Carrick on Suir",1,"*N/A","","","","","","Q3-2018"
1130,"SHIP CONSTRUCTION","Tipperary","Templetouhy",10,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1131,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",12,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1132,"SHIP CONSTRUCTION","Tipperary","Abbey Street, Cahir",10,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
1133,"SHIP CONSTRUCTION","Tipperary","Borrisokane",16,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
1134,"SHIP CONSTRUCTION","Tipperary","Portroe, Nenagh",14,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
1135,"SHIP CONSTRUCTION","Tipperary","Cloughjordan",2,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
1136,"SHIP CONSTRUCTION","Tipperary","Glenconnor Road, Clonmel",26,"*N/A","","","","","Q4-2018",""
1137,"SHIP CONSTRUCTION","Tipperary","Gortataggart, Thurles",2,"*N/A","","","","","","Q4-2018"
1138,"SHIP CONSTRUCTION","Tipperary","Kilcooly Way, Gortnahoe",5,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1139,"SHIP CONSTRUCTION","Tipperary","Lacey Avenue, Templemore",3,"*N/A","","","","","","Q3-2016"
1140,"SHIP CONSTRUCTION","Tipperary","Mitchel St., Thurles",1,"*N/A","","Stage 2 approved Q2-2017, full design/tender being prepared.","","","",""
1141,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",1,"*N/A","","","","","","Q4-2016"
1142,"SHIP CONSTRUCTION","Tipperary","Lower Ballingarry",1,"*N/A","","","","","","Q2-2016"
1143,"SHIP CONSTRUCTION","Tipperary","Poulamaleen, Faugheen",1,"*N/A","","","","","","Q2-2016"
1144,"SHIP CONSTRUCTION","Tipperary","Cormack Drive, Nenagh",19,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1145,"SHIP CONSTRUCTION","Tipperary","Lacey Avenue, Templemore",1,"*N/A","","","","","","Q3-2017"
1146,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",1,"*N/A","","","","","","Q4-2018"
1147,"CAS CONSTRUCTION","Tipperary","Ballinagrana, Carrick on Suir",3,"Camphill Communities of Ireland","Stage 1 approved Q3-2015, outline design and costs being prepared.","","","","",""
1148,"CAS CONSTRUCTION","Tipperary","Castle Street, Carrick on Suir",1,"Camphill Communities of Ireland","Stage 1 approved Q3-2015, outline design and costs being prepared.","","","","",""
1149,"CAS CONSTRUCTION","Tipperary","The Strand, Carrick on Suir",3,"Camphill Communities of Ireland","Stage 1 approved Q3-2015, outline design and costs being prepared.","","","","",""
1150,"CAS CONSTRUCTION","Tipperary","Fethard",4,"Belmont Park Housing Association Ltd","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
1151,"CAS CONSTRUCTION","Tipperary","Glenconnor Road, Clonmel",9,"Cluid Housing Association","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
1152,"CAS CONSTRUCTION","Tipperary","Stanwix House, Kickham Street, Thurles",19,"Thurles Lions Trust Housing Assoc.","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
1153,"CAS CONSTRUCTION","Tipperary","Monastery Close, Templemore Road, Thurles",15,"Thurles Lions Trust Housing Assoc.","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1154,"CALF Turnkey","Waterford","Kilbarry, Waterford (Phase 1)",69,"Respond","","","","","Q4-2018",""
1155,"CALF Construction","Waterford","St Johns College, Waterford (Phase 1)",36,"Respond","","","","","","Q1-2016"
1156,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan",8,"*N/A","","","","","","Q3-2018"
1157,"SHIP CONSTRUCTION TURNKEY","Waterford","Gibbethill, Gracedieu",5,"*N/A","","","","","","Q3-2018"
1158,"SHIP CONSTRUCTION TURNKEY","Waterford","Carrickphierish, Gracedieu, Waterford",31,"*N/A","","","","","","Q4-2018"
1159,"SHIP CONSTRUCTION TURNKEY","Waterford","Shandon, Dungarvan",5,"*N/A","","","","","","Q3-2018"
1160,"SHIP CONSTRUCTION TURNKEY","Waterford","Airport Road, Waterford City",33,"*N/A","","","","","","Q4-2018"
1161,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan",10,"*N/A","","","","","","Q4-2018"
1162,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan",21,"*N/A","","","","","","Q4-2018"
1163,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford",55,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1164,"SHIP CONSTRUCTION RAPID","Waterford","Ballygunner, Waterford City",65,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
1165,"SHIP CONSTRUCTION RAPID","Waterford","Ballynaneashagh, Waterford City",20,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
1166,"SHIP CONSTRUCTION","Waterford","An Garran, Crobally Upper, Tramore",50,"*N/A","","","","","Q4-2018",""
1167,"SHIP CONSTRUCTION","Waterford","Alms Houses, Tallow",4,"*N/A","","","","","","Q4-2018"
1168,"SHIP CONSTRUCTION","Waterford","Ardmore Park/Priory Lawn, Waterford City",5,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
1169,"SHIP CONSTRUCTION","Waterford","Ballinroad, Dungarvan",21,"*N/A","","","","","Q4-2018",""
1170,"SHIP CONSTRUCTION","Waterford","Barrack Street, Cappoquin",4,"*N/A","","","","","","Q4-2017"
1171,"SHIP CONSTRUCTION","Waterford","Coolfin Woods, Portlaw",12,"*N/A","","","","","Q1-2018",""
1172,"SHIP CONSTRUCTION","Waterford","Larchville, Waterford City",5,"*N/A","","","","","Q4-2018",""
1173,"SHIP CONSTRUCTION","Waterford","Patrick Street, Tramore",2,"*N/A","","","","","","Q3-2018"
1174,"SHIP CONSTRUCTION","Waterford","Doyle Street, Waterford City",4,"*N/A","","","","","Q4-2018",""
1175,"SHIP CONSTRUCTION","Waterford","Old Cinema Site, Dungarvan",15,"*N/A","","","","","","Q4-2016"
1176,"SHIP CONSTRUCTION","Waterford","The Glen, Bridge St, Waterford",11,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1177,"SHIP CONSTRUCTION","Waterford","Clarendon Court, Penrose Lane, Waterford",24,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
1178,"SHIP CONSTRUCTION","Waterford","Summerland Square, Waterford",12,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1179,"SHIP CONSTRUCTION","Waterford","Rough Sleeper Emerg Accom, Bath St, Waterford City",4,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
1180,"CAS CONSTRUCTION","Waterford","Convent Hill, Tramore",10,"Society of Saint Vincent de Paul","","","","","","Q1-2017"
