"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
2069,"SHIP CONSTRUCTION TURNKEY","Offaly","Cluain na Greine, Clonygowan",2,"*N/A","","","","","","Q2-2021"
2070,"SHIP CONSTRUCTION TURNKEY","Offaly","Coolgarry, Walsh Island ",4,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
2071,"SHIP CONSTRUCTION TURNKEY","Offaly","Mucklagh, Tullamore",8,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
2072,"SHIP CONSTRUCTION TURNKEY","Offaly","MacRegol Pairc, Birr",2,"*N/A","","","","","","Q1-2021"
2073,"SHIP CONSTRUCTION TURNKEY","Offaly","Bog Road, Portarlington",28,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
2074,"SHIP CONSTRUCTION TURNKEY","Offaly","MacRegol Pairc, Birr",4,"*N/A","","","","","","Q2-2021"
2075,"SHIP CONSTRUCTION TURNKEY","Offaly","Cluain na Greine, Clonygowan",1,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
2076,"SHIP CONSTRUCTION SINGLE STAGE","Offaly","78 & 110 Church Hill, Tullamore",2,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
2077,"SHIP CONSTRUCTION","Offaly","Chancery Lane, Tullamore",14,"*N/A","","","","","","Q3-2020"
2078,"SHIP CONSTRUCTION","Offaly","Circular Road, Daingean",9,"*N/A","","","Stage 3 approved Q1-2021, the scheme is now approved to proceed to tender.","","",""
2079,"SHIP CONSTRUCTION","Offaly","Kylebeg, Banagher (Phase 2)",18,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
2080,"SHIP CONSTRUCTION","Offaly","Blundell Wood, Edenderry",33,"*N/A","","","","","","Q4-2019"
2081,"SHIP CONSTRUCTION","Offaly","Beechgrove, Belmont",7,"*N/A","","","Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.","","",""
2082,"SHIP CONSTRUCTION","Offaly","Raheen ,Clara",38,"*N/A","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
2083,"SHIP CONSTRUCTION","Offaly","Elderberry Drive, Moneygall",4,"*N/A","","","Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.","","",""
2084,"SHIP CONSTRUCTION","Offaly","Sr. Senan Avenue, Edenderry",4,"*N/A","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
2085,"SHIP CONSTRUCTION","Offaly","Dargan Drive, Chancery Lane, Tullamore (Phase 2)",20,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
2086,"SHIP CONSTRUCTION","Offaly","1 Newbridge St., Birr",1,"*N/A","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
2087,"SHIP CONSTRUCTION","Offaly","Sycamore Drive, Ballycumber",8,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
2088,"SHIP CONSTRUCTION","Offaly","Circular Road, Daingean Phase 2",9,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
2089,"CAS CONSTRUCTION","Offaly","Mountbolus",4,"Mid Offaly Housing Association Ltd","","","","","","Q4-2019"
2090,"CAS CONSTRUCTION","Offaly","Killane Court, Edenderry",2,"T�ath Housing Association Ltd","","","","","","Q2-2021"
2091,"CAS CONSTRUCTION","Offaly","Scurragh, Birr (AKA Camcor Green)",6,"Cluid Housing Association","","","","","","Q4-2019"
2092,"CAS CONSTRUCTION","Offaly","Clonminch, Tullamore",19,"Oaklee Housing Trust","","","","","Q1-2021",""
2093,"CAS CONSTRUCTION","Offaly","Presentation Convent, Portarlington",39,"Sophia Housing Association Ltd","","Stage 2 approved Q1-2021, full design/tender being prepared.","","","",""
2094,"CAS CONSTRUCTION","Offaly","Clonamore Hotel, Tullamore",17,"Sophia Housing Association Ltd","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
2095,"CALF Turnkey","Offaly","3 units, An Corran, Crinkle, Birr, Co. Offaly (Phase 1)",3,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2021"
2096,"CALF Construction","Offaly","Kearney�s Field, Tullamore, Co. Offaly (Phase 1)",41,"Oaklee Housing","","","","","Q2-2021",""
2097,"CALF Construction","Offaly","Killane Drive, Edenderry, Co Offaly (Phase 1)",25,"Tuath Housing Association","","","","","","Q2-2021"
2098,"CALF Turnkey","Offaly","Rahan Road, Tullamore, Co. Offaly (Phase 1)*",26,"Cl�id Housing","","","","","Q4-2020",""
2099,"CALF Turnkey","Offaly","The Hawthorns, Arden Road, Tullamore, Co. Offaly (Phase 1)",16,"Cl�id Housing","","","","","Q1-2020",""
2100,"SHIP CONSTRUCTION TURNKEY","Roscommon","Monksland, Athlone",10,"*N/A","","","","","","Q3-2018"
2101,"SHIP CONSTRUCTION TURNKEY","Roscommon","Station Road, Termon, Boyle",10,"*N/A","","","","","","Q1-2019"
2102,"SHIP CONSTRUCTION TURNKEY","Roscommon","Lisroyne Court, Strokestown",10,"*N/A","","","","","","Q4-2019"
2103,"SHIP CONSTRUCTION TURNKEY","Roscommon","Warren Grove, Boyle",4,"*N/A","","","","","","Q4-2018"
2104,"SHIP CONSTRUCTION TURNKEY","Roscommon","Monksfield, Monksland",2,"*N/A","","","","","","Q4-2020"
2105,"SHIP CONSTRUCTION","Roscommon","Cloonfad",3,"*N/A","","","","","","Q2-2021"
2106,"SHIP CONSTRUCTION","Roscommon","Greenfields, Blackstick Road, Roscommon Town",6,"*N/A","","","","","","Q3-2017"
2107,"SHIP CONSTRUCTION","Roscommon","River Oaks, Ballaghaderreen",10,"*N/A","","","","","","Q4-2017"
2108,"SHIP CONSTRUCTION","Roscommon","Silveroe Meadows, Boyle",12,"*N/A","","","","","","Q4-2020"
2109,"SHIP CONSTRUCTION","Roscommon","Cluain Fraoigh, Cloonbeirne",7,"*N/A","","","","","","Q1-2021"
2110,"SHIP CONSTRUCTION","Roscommon","Old Tuam Road,  Monksland, Athlone",2,"*N/A","","","","","","Q4-2020"
2111,"SHIP CONSTRUCTION","Roscommon","Meadowbrook, Ballyclare Td., Ballyleague",16,"*N/A","","","","","Q3-2020",""
2112,"SHIP CONSTRUCTION","Roscommon","Lisroyne Td., Strokestown",10,"*N/A","","","","","Q4-2020",""
2113,"SHIP CONSTRUCTION","Roscommon","Windmill Road, Elphin Road",10,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
2114,"SHIP CONSTRUCTION","Roscommon","Lakeview Heights, Bellspark Td., Boyle",6,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
2115,"SHIP CONSTRUCTION","Roscommon","Lisnamult, Ardnanagh Td., Roscommon Town",8,"*N/A","Stage 1 approved Q1-2021, outline design and costs being prepared.","","","","",""
2116,"CALF Turnkey","Roscommon","Castle View Apartments, Block B, Roscommon Town (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
2117,"CALF Turnkey","Roscommon","Monksland, Athlone, Co. Roscommon (Phase 1)*",35,"Tuath Housing Association","","","","","Q4-2019",""
2118,"CALF Turnkey","Roscommon","Revised - Monksfield Park, Bealnamulla, Athlone (Phase 1)",13,"Cl�id Housing","","","","","","Q3-2018"
2119,"CALF Turnkey","Roscommon","River Oaks, Kilcolman, Ballaghaderreen, Co. Roscommon (Phase 1)",12,"Respond","","","","","","Q1-2018"
2120,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Roscommon","The Walk, Roscommon Town",53,"*N/A","","","","","","Q2-2021"
2121,"SHIP CONSTRUCTION TURNKEY","Sligo","Fairgreen Square, Ballisodare",2,"*N/A","","","","","","Q4-2019"
2122,"SHIP CONSTRUCTION TURNKEY","Sligo","Ursuline Convent",14,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
2123,"SHIP CONSTRUCTION TURNKEY","Sligo","Ursuline Convent",16,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
2124,"SHIP CONSTRUCTION TURNKEY","Sligo","Ursuline Convent",30,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
2125,"SHIP CONSTRUCTION TURNKEY","Sligo","Ursuline Convent",13,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
2126,"SHIP CONSTRUCTION SINGLE STAGE","Sligo","St. Joseph's Terrace, Sligo",1,"*N/A","","","","","","Q4-2019"
2127,"SHIP CONSTRUCTION","Sligo","Collooney",18,"*N/A","","","","","","Q4-2019"
2128,"SHIP CONSTRUCTION","Sligo","Knappagh Road, Sligo",28,"*N/A","","","","","","Q4-2020"
2129,"SHIP CONSTRUCTION","Sligo","Caltragh, Culleens",1,"*N/A","","","","","","Q4-2018"
2130,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace",14,"*N/A","","","","","","Q3-2018"
2131,"SHIP CONSTRUCTION","Sligo","Daghloonagh, Keash - SRD",1,"*N/A","","","","","","Q4-2016"
2132,"SHIP CONSTRUCTION","Sligo","Rosses Point",14,"*N/A","","","","","","Q4-2019"
2133,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace",8,"*N/A","","","","","","Q4-2017"
2134,"SHIP CONSTRUCTION","Sligo","Connolly Park, Tubbercurry (Phase 1)",10,"*N/A","","","","","Q3-2020",""
2135,"SHIP CONSTRUCTION","Sligo","Dromore West",10,"*N/A","","","","","Q4-2019",""
2136,"SHIP CONSTRUCTION","Sligo","Robbers' Lane, Maugheraboy, Sligo",62,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
2137,"SHIP CONSTRUCTION","Sligo","House at Ballinode",1,"*N/A","","","","","","Q4-2018"
2138,"SHIP CONSTRUCTION","Sligo","SRD at Crowagh, Dromore West",1,"*N/A","","","","","Q4-2020",""
2139,"SHIP CONSTRUCTION","Sligo","Gormley Park, Bunnanadden",6,"*N/A","","","Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.","","",""
2140,"SHIP CONSTRUCTION","Sligo","Connolly Park, Tubbercurry (Phase 2) & The Green Rd,",19,"*N/A","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
2141,"CAS CONSTRUCTION","Sligo","Cuan Iosa, Ballymote",8,"Society of Saint Vincent de Paul","","","","","","Q3-2020"
2142,"CAS CONSTRUCTION","Sligo","Killeshin, First Sea Road, Sligo",5,"Newgrove Housing Association Ltd","","","","","Q4-2020",""
2143,"SHIP CONSTRUCTION TURNKEY","South Dublin","Ardsolus, Kingswood, Dublin 24",2,"*N/A","","","","","","Q4-2018"
2144,"SHIP CONSTRUCTION TURNKEY","South Dublin","White Pines, Stocking Avenue, Rathfarnham, Dublin 16",26,"*N/A","","","","","","Q4-2018"
2145,"SHIP CONSTRUCTION TURNKEY","South Dublin","Shackleton Park / Gandon Park, Adamstown",22,"*N/A","","","","","","Q4-2019"
2146,"SHIP CONSTRUCTION TURNKEY","South Dublin","Gandon Park, Adamstown, Lucan",12,"*N/A","","","","","","Q4-2019"
2147,"SHIP CONSTRUCTION SINGLE STAGE","South Dublin","37 Greenfort Gardens, Clondalkin",2,"*N/A","","","","","Q4-2020",""
2148,"SHIP CONSTRUCTION RAPID","South Dublin","Killininny Road, Firhouse (Old Mill, Old Bawn)",24,"*N/A","","","","","","Q4-2018"
2149,"SHIP CONSTRUCTION RAPID","South Dublin","St Cuthbert's, Clondalkin (Phase 1)",63,"*N/A","","","","","","Q3-2019"
2150,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",47,"*N/A","","","","","","Q2-2018"
2151,"SHIP CONSTRUCTION RAPID","South Dublin","St. Marks Avenue, Clondalkin",41,"*N/A","","","","","Q3-2020",""
2152,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",22,"*N/A","","","","","","Q3-2018"
2153,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",21,"*N/A","","","","","","Q4-2018"
2154,"SHIP CONSTRUCTION RAPID","South Dublin","Riversdale, Clondalkin, Dublin 22",22,"*N/A","","","","","Q4-2020",""
2155,"SHIP CONSTRUCTION RAPID","South Dublin","Riverside Cottages, Templeogue",10,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
2156,"SHIP CONSTRUCTION RAPID","South Dublin","Riversdale, Clondalkin, Dublin 22",21,"*N/A","","","","","Q4-2020",""
2157,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght",17,"*N/A","","","","","","Q4-2018"
2158,"SHIP CONSTRUCTION","South Dublin","Letts Field, Neilstown, Clondalkin",37,"*N/A","","","","","","Q4-2018"
2159,"SHIP CONSTRUCTION","South Dublin","Owendoher, Ballyboden,  Rathfarnham",40,"*N/A","","","","","","Q1-2019"
2160,"SHIP CONSTRUCTION","South Dublin","Dromcarra, Tallaght",14,"*N/A","","","","","","Q4-2018"
2161,"SHIP CONSTRUCTION","South Dublin","Fortunestown (MacUilliam)",28,"*N/A","","","","","","Q4-2018"
2162,"SHIP CONSTRUCTION","South Dublin","Mayfield Estate, Clondalkin",17,"*N/A","","","","","","Q2-2018"
2163,"SHIP CONSTRUCTION","South Dublin","St Marks Green, Clondalkin",11,"*N/A","","","","","","Q3-2018"
2164,"SHIP CONSTRUCTION","South Dublin","Balgaddy F, Griffeen Avenue, Lucan Co. Dublin",69,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
2165,"SHIP CONSTRUCTION","South Dublin","St Finians",2,"*N/A","","","","","","Q3-2016"
2166,"SHIP CONSTRUCTION","South Dublin","Suncroft, Tallaght",10,"*N/A","","","","","","Q4-2016"
2167,"SHIP CONSTRUCTION","South Dublin","Belgard Road",3,"*N/A","","","","","","Q1-2016"
2168,"SHIP CONSTRUCTION","South Dublin","St. Catherine�s, Knockmore Avenue, Killinarden, Tallaght",12,"*N/A","","","","","Q4-2020",""
2169,"SHIP CONSTRUCTION","South Dublin","Homeville, Knocklyon, Dublin 16",16,"*N/A","","","","","Q4-2020",""
2170,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght",9,"*N/A","","","","","","Q1-2019"
2171,"SHIP CONSTRUCTION","South Dublin","Nangor Road, Clondalkin, Dublin 22",93,"*N/A","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
2172,"SHIP CONSTRUCTION","South Dublin","Grand Canal, Lindisfarne, Clondalkin,",19,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
2173,"CAS CONSTRUCTION","South Dublin","Collinstown Grove, Clondalkin",4,"T�ath Housing Association Ltd","","","","","","Q1-2020"
2174,"CAS CONSTRUCTION","South Dublin","Old Nangor Road, Clondalkin",10,"Simon Community : Dublin Simon","","","","","Q4-2019",""
2175,"CALF Turnkey","South Dublin","2 properties Tullyhall, Lucan, County Dublin (Phase 1)*",2,"Tuath Housing Association","","","","","","Q2-2019"
2176,"CALF Turnkey","South Dublin","6 units Elder Heath, Kiltipper Road, Tallaght, Dublin 24 (Phase 1)*",6,"Cl�id Housing","","","","","","Q4-2019"
2177,"CALF Turnkey","South Dublin","Ardsolus, Old Naas Road, Dublin 22 (Phase 1)",10,"Respond","","","","","","Q3-2019"
2178,"CALF Turnkey","South Dublin","Aylmer Heath, Newcastle, Co. Dublin 22 (Phase 1)",32,"Respond","","","","","","Q4-2020"
2179,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 1)",6,"Tuath Housing Association","","","","","","Q4-2018"
2180,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 2)",4,"Tuath Housing Association","","","","","","Q1-2019"
2181,"CALF Turnkey","South Dublin","Balrothery, Castletymon Road, Dublin Road (Phase 1)*",13,"Cl�id Housing","","","","","","Q4-2019"
2182,"CALF Turnkey","South Dublin","Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)*",14,"Oaklee Housing","","","","","","Q3-2017"
2183,"CALF Turnkey","South Dublin","Burgage Gardens, Newcastle, Co. Dublin (Phase 1)*",4,"Respond","","","","","","Q2-2020"
2184,"CALF Turnkey","South Dublin","Burgage, Newcastle, Co. Dublin 22 (Phase 1)",10,"Respond","","","","","","Q4-2019"
2185,"CALF Turnkey","South Dublin","Burgage, Newcastle, Co. Dublin 22 (Phase 2)",26,"Respond","","","","","","Q2-2020"
2186,"CALF Turnkey","South Dublin","Citywest Quarter, Citywest, Dublin 24 (Phase 1)*",32,"Tuath Housing Association","","","","","","Q2-2021"
2187,"CALF Turnkey","South Dublin","Cloverhill Lodge, Cloverhill Rd, Clondalkin, D22 (Phase 1)*",40,"Oaklee Housing","","","","","Q2-2021",""
2188,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 1)",45,"Tuath Housing Association","","","","","","Q4-2020"
2189,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 2)",15,"Tuath Housing Association","","","","","","Q4-2020"
2190,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 3)*",23,"Tuath Housing Association","","","","","","Q4-2020"
2191,"CALF Turnkey","South Dublin","Cuil Duin Green, Cuil Duin, Citywest, Dublin 24 (Phase 1)*",24,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
2192,"CALF Turnkey","South Dublin","De Selby Heights, Tallaght, Dublin 24 (Phase 1)",9,"Tuath Housing Association","","","","","","Q4-2019"
2193,"CALF Turnkey","South Dublin","Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,"Cl�id Housing","","","","","","Q1-2018"
2194,"CALF Turnkey","South Dublin","Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,"Cl�id Housing","","","","","","Q1-2018"
2195,"CALF Turnkey","South Dublin","Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 1)*",4,"Cl�id Housing","","","","","","Q4-2019"
2196,"CALF Turnkey","South Dublin","Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 2)*",9,"Cl�id Housing","","","","","","Q1-2021"
2197,"CALF Turnkey","South Dublin","Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,"Cl�id Housing","","","","","","Q3-2018"
2198,"CALF Turnkey","South Dublin","Edenbrook, Citywest, Dublin 24 (Phase 1)",17,"Tuath Housing Association","","","","","","Q4-2019"
2199,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,"Cl�id Housing","","","","","","Q1-2018"
2200,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,"Cl�id Housing","","","","","","Q2-2018"
2201,"CALF Construction","South Dublin","Fernwood Green and Maplewood Heights, Tallaght, Dublin  (Phase 1)",40,"Cl�id Housing","","","","","Q3-2020",""
2202,"CALF Turnkey","South Dublin","Finians Way, Newcastle South, Newcastle, Co. Dublin (Phase 1)*",2,"Clanmil Housing Association Ireland","","","","","Q1-2020",""
2203,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 1)",32,"Respond","","","","","","Q3-2021"
2204,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 2)",38,"Respond","","","","","","Q3-2021"
2205,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 3)*",24,"Respond","","","","","Q4-2018",""
2206,"CALF Turnkey","South Dublin","Graydon, Newcastle, Co. Dublin (Phase 1)*",8,"Tuath Housing Association","","","","","Q1-2020",""
2207,"CALF Turnkey","South Dublin","Green Lane, Rathcoole, Co. Dublin (Phase 1)*",12,"Tuath Housing Association","","","","","","Q4-2020"
2208,"CALF Turnkey","South Dublin","Green Lane, Rathcoole, Co. Dublin (Phase 2)*",9,"Tuath Housing Association","","","","","","Q4-2020"
2209,"CALF Turnkey","South Dublin","Hallwell, Tubber Lane, Adamstown, Co Dublin (Phase 1)*",45,"The Iveagh Trust","","","","","Q2-2018",""
2210,"CALF Turnkey","South Dublin","Kingswood, Old Ballymount Road, Tallaght, Dublin 24 (Phase 1)*",24,"Respond","","","","","Q4-2018",""
2211,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 1)*",13,"Cl�id Housing","","","","","","Q2-2018"
2212,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 2)",12,"Cl�id Housing","","","","","","Q4-2018"
2213,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Houses (Phase 1)",25,"Cl�id Housing","","","","","","Q1-2017"
2214,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Houses (Phase 2)",15,"Cl�id Housing","","","","","","Q3-2017"
2215,"CALF Turnkey","South Dublin","Millford Manor, Cloverhill Road, Clondalkin, Dublin 22 (Phase 1)*",2,"Cl�id Housing","","","","","","Q4-2018"
2216,"CALF Turnkey","South Dublin","Mountain Gate, Kiltipper Rd., Dublin 24 (Phase 1)*",22,"Co - Operative Housing Ireland Society Limited","","","","Q3-2021","",""
2217,"CALF Turnkey","South Dublin","Moyglas, Lucan, Co Dublin (Phase 1)",13,"Respond","","","","","","Q1-2016"
2218,"CALF Turnkey","South Dublin","Moyglas, Lucan, Co Dublin (Phase 2)*",1,"Respond","","","","","","Q2-2017"
2219,"CALF Turnkey","South Dublin","New Bancroft, Tallaght, Dublin 24 (Phase 1)*",16,"Cl�id Housing","","","","","","Q3-2017"
2220,"CALF Construction","South Dublin","Old Lucan Road, Palmerstown, Dublin 20 (Phase 1)",4,"Tuath Housing Association","","","","Q3-2021","",""
2221,"CALF Turnkey","South Dublin","Palmerstown Avenue, Dublin 20 (Phase 1)",7,"Respond","","","","","","Q4-2020"
2222,"CALF Turnkey","South Dublin","Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,"Tuath Housing Association","","","","","","Q3-2018"
2223,"CALF Turnkey","South Dublin","Phase 2, Aylmer Drive, Aylmer Heath, Newcastle, Co. Dublin (Phase 1)*",17,"Respond","","","","","","Q2-2021"
2224,"CALF Turnkey","South Dublin","Raheen House, Old Nangor Road, Clondalkin, Dublin 22 (Phase 1)",9,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
2225,"CALF Turnkey","South Dublin","Rathmill Meadows and Green, Rathcoole, Co. Dublin (Phase 1)*",11,"Oaklee Housing","","","","","","Q4-2019"
2226,"CALF Turnkey","South Dublin","Sallypark, Clondalkin, Dublin 22 (Phase 1)*",85,"Cl�id Housing","","","","","Q4-2020",""
2227,"CALF Turnkey","South Dublin","San Guida, New Road, Clondalkin, Dublin 22 (Phase 1)*",21,"Cl�id Housing","","","","","Q3-2021",""
2228,"CALF Turnkey","South Dublin","Scholarstown Road, Rathfarnham, Dublin 16 (Phase 1)*",7,"Circle Voluntary Housing Association Ltd","","","","","Q2-2019",""
2229,"CALF Turnkey","South Dublin","Scholarstown Road, Rathfarnham, Dublin 16 (Phase 2)*",7,"Circle Voluntary Housing Association Ltd","","","","","Q2-2019",""
2230,"CALF Turnkey","South Dublin","Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",6,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
2231,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2017"
2232,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
2233,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
2234,"CALF Turnkey","South Dublin","Shackleton Park, Lucan, Co. Dublin (Phase 1)*",8,"Cl�id Housing","","","","","","Q2-2019"
2235,"CALF Turnkey","South Dublin","Somerton, Lucan, Co. Dublin (Phase 1)*",32,"Respond","","","","","","Q4-2019"
2236,"CALF Construction","South Dublin","St. Catherine�s, Knockmore Avenue, Killinarden, Tallaght, Dublin 24 (Phase 1)",2,"Sophia Housing Association Ltd","","","","","Q2-2021",""
2237,"CALF Turnkey","South Dublin","St. Johns, Firhouse, Dublin 24 (Phase 1)*",10,"Respond","","","","","","Q4-2019"
2238,"CALF Turnkey","South Dublin","Station Road, Clondalkin, Co. Dublin (Phase 1)",5,"Respond","","","","","","Q3-2017"
2239,"CALF Turnkey","South Dublin","Stone Masons Court, Fortunestown Lane, Citywest Dublin (Phase 1)*",12,"Cl�id Housing","","","","","","Q2-2019"
2240,"CALF Turnkey","South Dublin","Temple Court, Temple Woods, Greenhills Road, Dublin 12 (Phase 1)*",6,"Tuath Housing Association","","","","","","Q4-2018"
2241,"CALF Turnkey","South Dublin","The Mews, Citywest Village, Citywest, Dublin 24 (Phase 1)*",22,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
2242,"CALF Turnkey","South Dublin","The Rise, Citywest Village, Citywest, Dublin 24 (Phase 1)*",13,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
2243,"CALF Construction","South Dublin","The Weir, Whitestown Way, Tallaght, Dublin 24 (Phase 1)",81,"Cl�id Housing","","","","","Q2-2021",""
2244,"CALF Turnkey","South Dublin","Tullyhall, Lucan, Co Dublin (Phase 1)*",2,"Tuath Housing Association","","","","","","Q3-2017"
2245,"CALF Turnkey","South Dublin","Tullyhall, Lucan, Co Dublin (Phase 2)*",2,"Tuath Housing Association","","","","","","Q4-2018"
2246,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 1)",28,"Cl�id Housing","","","","","","Q4-2018"
2247,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 2)",28,"Cl�id Housing","","","","","","Q2-2019"
2248,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 3)",28,"Cl�id Housing","","","","","","Q4-2019"
2249,"CALF Turnkey","South Dublin","Wilkins Court, Limekiln Lane, Dublin 12 (Phase 1)*",6,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
2250,"CALF Turnkey","South Dublin","Wilkins View, Greenhills, Dublin 12 (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
2251,"CALF Turnkey","South Dublin","Willowview, Ballyboden Road, Rathfarnham, Dublin 14 (Phase 1)*",12,"Cl�id Housing","","","","","","Q2-2021"
2252,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","South Dublin","Corkage Grange (part of Kilcarbery)",109,"*N/A","","","","","","Q4-2020"
2253,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard",6,"*N/A","","","","","","Q2-2019"
2254,"SHIP CONSTRUCTION TURNKEY","Tipperary","Strylea, Fethard",3,"*N/A","","","","","","Q4-2020"
2255,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ardan, Borrisokane",9,"*N/A","","","","","","Q4-2018"
2256,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles",4,"*N/A","","","","","","Q4-2018"
